study.name,group.name,setting,prof,scope,type,error,random,,setting,prof,scope,type,error,random
Shin.Ellis,ME,1,2,1,1,1,1,,1,2,1,1,1,1
Shin.Ellis,DCF,1,2,1,2,1,1,,1,2,1,1,1,1
Shin.Ellis,Cont,1,2,99,99,99,1,,1,2,99,99,99,1
,,,,,,,,,,,,,,
Trus.Hsu,Exper,2,2,2,1,0,0,,2,2,1,1,2,0
Trus.Hsu,Cont,2,2,99,99,99,0,,2,2,99,99,99,0
,,,,,,,,,,,,,,
Bit.KnoA,Meta,1,3,1,1,1,0,,1,3,1,1,1,0
Bit.KnoA,Ind,1,3,1,1,1,0,,1,3,1,1,1,0
Bit.KnoA,Mfo,1,3,1,2,1,0,,1,3,1,2,1,0
Bit.KnoA,Cont,1,3,99,99,99,0,,1,3,NA,NA,NA,0
,,,,,,,,,,,,,,
SheenA,Dir,1,2,2,2,1,NA,,1,2,2,2,1,0
SheenA,MF,1,2,2,2,1,NA,,1,2,2,1,1,0
SheenA,Cont,1,2,99,99,99,NA,,1,2,99,99,99,0
,,,,,,,,,,,,,,
Bit.KnoB,gr1,1,2,2,1,1,0,,1,2,2,2,1,0
Bit.KnoB,gr2,1,2,2,1,1,0,,1,2,2,1,1,0
Bit.KnoB,gr3,1,2,2,1,1,0,,1,2,2,3,1,0
Bit.KnoB,Cont,1,2,99,99,99,0,,1,2,99,99,99,0
,,,,,,,,,,,,,,
ChandlerA,Exper,1,2,2,4,0,NA,,1,2,1,4,0,NA
ChandlerA,Cont,1,2,99,99,99,NA,,1,2,99,99,99,NA
,,,,,,,,,,,,,,
Mubarak,grA,2,NA,2,4,0,1,,2,NA,2,4,0,1
Mubarak,grB,2,NA,2,2,0,1,,2,NA,2,2,0,1
Mubarak,Cont,2,NA,99,99,99,1,,2,NA,99,99,99,1
,,,,,,,,,,,,,,
Sun,focus,2,2,1,1,2,1,,2,2,1,2,2,1
Sun,unfo,2,2,2,1,0,1,,2,2,2,2,0,1
Sun,cont,2,2,99,99,99,1,,2,2,99,99,99,1
