study.name,group.name,outcome,,ESL,prof,scope,type
SheenA,Dir.short,1,,1,2,2,2
SheenA,Dir.long,1,,1,2,2,1
SheenA,MF.short,1,,1,2,2,1
SheenA,MF.long,1,,1,2,2,2
SheenA,Cont.short,1,,1,2,NA,NA
SheenA,Cont.long,1,,1,2,NA,NA
,,,,,,,
Bit.KnoA,Meta.short,1,,1,3,1,1
Bit.KnoA,Meta.long,1,,1,3,1,1
Bit.KnoA,Ind.short,1,,1,3,1,1
Bit.KnoA,Ind.Long,1,,1,3,1,1
Bit.KnoA,MFo.short,1,,1,3,1,2
Bit.KnoA,MFo.long,1,,1,3,1,2
Bit.KnoA,Cont.short,1,,1,3,NA,NA
Bit.KnoA,Cont.long,1,,1,3,NA,NA
,,,,,,,
,,,,,,,
Trus.Hsu,Exper,1,,2,2,1,1
Trus.Hsu,Cont,1,,2,2,NA,NA
,,,,,,,
,,,,,,,
Bit.KnoB,gr1.short,1,,1,2,2,2
Bit.KnoB,gr1.long1,1,,1,2,2,2
Bit.KnoB,gr1.long2,1,,1,2,2,2
Bit.KnoB,gr2.short,1,,1,2,2,1
Bit.KnoB,gr2.long1,1,,1,2,2,1
Bit.KnoB,gr2.long2,1,,1,2,2,1
Bit.KnoB,gr3.short,1,,1,2,2,3
Bit.KnoB,gr3.long1,1,,1,2,2,3
Bit.KnoB,gr3.long2,1,,1,2,2,3
Bit.KnoB,Cont.short,1,,1,2,NA,NA
Bit.KnoB,Cont.long1,1,,1,2,NA,NA
Bit.KnoB,Cont.long2,1,,1,2,NA,NA
,,,,,,,
ChandlerA,Exper,1,,1,2,1,4
ChandlerA,Cont,1,,1,2,NA,NA
,,,,,,,
Sun,focus.short,1,,2,2,1,2
Sun,focus.long,1,,2,2,1,2
Sun,unfo.short,1,,2,2,2,2
Sun,unfo.long,1,,2,2,2,2
Sun,cont.short,1,,2,2,NA,NA
Sun,cont.long,1,,2,2,NA,NA
,,,,,,,
,,,,,,,
Shin.Ellis,ME.short,1,,1,2,1,1
Shin.Ellis,ME.long,1,,1,2,1,1
Shin.Ellis,DCF.short,1,,1,2,1,1
Shin.Ellis,DCF.long,1,,1,2,1,1
Shin.Ellis,Cont.short,1,,1,2,NA,NA
Shin.Ellis,Cont.long,1,,1,2,NA,NA
,,,,,,,
,,,,,,,
Mubarak,grA.short,1,,2,NA,2,4
Mubarak,grA.long,1,,2,NA,2,4
Mubarak,grB.short,1,,2,NA,2,2
Mubarak,grB.long,1,,2,NA,2,2
Mubarak,Cont.short,1,,2,NA,NA,NA
Mubarak,Cont.long,1,,2,NA,NA,NA
Mubarak,grA.shortB,2,,2,NA,2,2
Mubarak,grA.longB,2,,2,NA,2,2
Mubarak,grB.shortB,2,,2,NA,2,4
Mubarak,grB.longB,2,,2,NA,2,4
Mubarak,Cont.shortB,2,,2,NA,NA,NA
Mubarak,Cont.longB,2,,2,NA,NA,NA
